protein name	count
Protein kinase serine/arginine specific 2	1
Protein kinase substrate MK2S4	6
Protein kinase, cAMP dependent, regulatory type II, alpha	1
Protein phosphatase 1, regulatory subunit 11	1
Protein phosphatase inhibitor 2	1
Protein tyrosine phosphatase receptor type C	1
Pseudouridine synthase 1	1
Pumilio2	2
Purine rich element binding protein B	1
R3H domain protein 1	1
RA regulated nuclear matrix associated protein	1
RAD23B	1
RAD54-like 2	1
RAF1	2
RALBP1	2
RAN binding protein 9	4
RAP1 GTPase activating protein 1	1
RAS family, member RAB11B	1
RAS guanyl nucleotide releasing protein 1	1
RAS guanyl nucleotide releasing protein 2	2
RBMX	1
RING finger protein 29	1
RIO kinase 2	1
RNA binding motif protein 10	1
RNA binding motif protein 13	2
RNA binding motif protein 14	3
RNA binding motif protein 15	2
RNA binding motif protein 34	1
RNA binding motif protein 7	1
RNA binding motif protein 8A	1
RNA binding protein 4	1
RNA polymerase I transcription factor RRN3	1
RNA polymerase IIA 220 kd subunit	2
RNA-binding protein Raly	5
Rab-coupling protein	1
Rabaptin 5	1
Rabphilin 3A	1
Ran binding protein 2	1
Ran binding protein 3	3
Rap guanine nucleotide exchange factor GEF 6	1
Rap1 interacting factor 1	1
Raptor	1
Ras-GTPase activating protein binding protein 2	2
Regulator of G protein signaling 14	1
Regulator of nonsense transcripts 1	1
Regulatory factor X 3 influences HLA class II expression	1
Renal cell carcinoma, papillary 1	1
Replication factor C1	5
Retinoblastoma 1	6
Retinoblastoma associated factor 600	1
Retinoblastoma binding protein 6	3
Rho GTPase activating protein 15	1
Rho GTPase activating protein 30	2
Rho guanine nucleotide exchange factor 1	1
Rho guanine nucleotide exchange factor 2	7
Rho guanine nucleotide exchange factor 38	1
Rho guanine nucleotide exchange factor 6	5
Rho guanine nucleotide exchange factor 7	1
Rho specific guanine nucleotide exchange factor p114	3
Ribosomal RNA processing 12 homolog	1
Ribosomal protein L31	1
Ribosomal protein S3	1
Ribosomal protein S3a	1
Ribosomal protein S6	2
Ribosomal protein S6 kinase, 70kDa, polypeptide 1	1
Ribosomal protein, large, P0	1
Ribosomal protein, large, P1	1
Rictor	1
SAFB-like, transcription modulator	2
SDAD1	1
SDS3	1
SERPINE1 mRNA binding protein 1	1
SFRS protein kinase 1	1
SGTB	1
SH3 protein expressed in lymphocytes	1
SIN3A	3
SIT	2
SMAD4 interacting transcription factor	1
SMAP	1
SMARCA2	1
SMARCA4	1
SMARCAD1	3
SMARCC1	2
SMC4 structural maintenance of chromosomes 4	4
SON DNA binding protein	2
SP100	1
SP110 nuclear body protein	2
SPAK	2
SRP20	1
SRP72	2
SRRM2	29
SRp46	1
STAT3	4
STAT4	1
STE20 like kinase MST1	1
Sarcoma antigen NY-SAR-91	1
Scaffold Attachment Factor B	3
Scribble	1
Second step splicing factor 1	2
Secreted frizzled related protein 2	1
Senescence downregulated leo1 like	1
Septin 2	1
Septin 5	1
Serine arginine repetitive matrix protein 1	10
Serine arginine rich pre-mRNA splicing factor SR-A1	2
Serine hydrolase-like protein 2	1
Serine threonine protein kinase N	1
Serine/Threonine protein kinase 10	2
Serine/threonine protein kinase 3	2
Serine/threonine-protein kinase B-raf	1
Sex comb on midleg like 2	1
Sialophorin	7
Similar to KIAA0592 protein	1
Single stranded DNA binding protein 2	1
Single stranded DNA binding protein 3	3
Skip	1
Smad nuclear-interacting protein 1	1
Solute carrier family 16 (monocarboxylic acid transporters), member 1	1
Solute carrier family 25, member 46	1
Solute carrier family 35 member C2	1
Solute carrier family 38 member 1	1
Solute carrier family 7, member 6 opposite strand	1
Solute carrier family 9, isoform A3, regulatory factor 1	2
Source of immunodominant MHC associated peptides	1
Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	2
Sperm associated antigen 9	2
Spliceosome associated protein 145	2
Splicing factor 1	1
Splicing factor 3B subunit 1	1
Splicing factor HCC1	4
Splicing factor YT521-B	1
Splicing factor, 45 kd	1
Splicing factor, arginine/serine rich 11	2
Splicing factor, arginine/serine rich 2	1
Splicing factor, arginine/serine-rich 2, interacting protein	1
Splicing factor, arginine/serine-rich 4	1
Splicing factor, arginine/serine-rich 7,35kDa	1
Stathmin 1	4
Striatin, calmodulin binding protein 3	1
Stromal interaction molecule 1	1
Structure specific recognition protein 1	3
Symplekin	2
Synaptojanin 2	1
Synembryn	1
T box brain 2	1
TAF15	1
TAF9 RNA polymerase II	1
TANC	1
TATSF1	8
TBC1 domain family member 15 (Fragment)	2
TBC1 domain family member 4	1
TBC1 domain family member 5	1
TERF2IP	1
TIM1	1
TLOC1	1
TNFAIP3 interacting protein 1	1
TOM1	1
TORC3	3
TRA2A	2
TRAF3-interacting JNK-activating modulator	1
TRAP150	5
TSC22 domain family 4	1
Target of EGR1	1
Taste receptor type 2 member 7	1
Taxilin	1
Thymopoietin	2
Thyroid hormone receptor interactor 12	1
Topoisomerase DNA II, beta	3
Transcription elongation factor A, 1	1
Transcription factor 12	2
Transcription factor 2B related factor	1
Transcription factor 3	2
Transcription factor E2-alpha	1
Transcription factor IIF, alpha subunit	1
Transcription factor YY1	1
Transcriptional intermediary factor 1 beta	1
Transcriptional intermediary factor 1 gamma	1
Transducer of regulated cAMP response element binding protein 2	1
Transducin like enhancer of split 3	3
Translocated promoter region	3
Transmembrane protein 35B	1
Treacle	5
Trinucleotide repeat containing protein 15	2
Trinucleotide repeat-containing gene 6C protein	1
Triosephosphate isomerase 1	1
Tuftelin interacting protein 11	3
Tumor protein p53 binding protein 1	1
Tumor rejection antigen 1	1
U2-associated SR140 protein	1
USP6 N terminal like	1
Ubiquitin carboxyl terminal hydrolase 4	1
Ubiquitin specific protease 14	2
Ubiquitin specific protease 15	3
Ubiquitin-associated protein 2-like	1
Unactive progesterone receptor 23KD	1
Unc 51 like kinase 1	1
Uncharacterized membrane protein C19orf24	1
Unconventional myosin-XVIIIa (Fragment)	1
Upstream regulatory element binding protein 1	4
Uracil DNA glycosylase	2
VAV1	1
Valosin containing protein	1
Vanilloid receptor like 3	1
Vimentin	3
Vinexin beta	1
WASP interacting protein	1
WD repeat domain 44	1
WD repeat domain 50	1
WD repeat domain 70	1
WW domain containing adaptor with coiled coil	1
Werner helicase interacting protein 1	1
Wilms tumor 1 associated protein	1
XRCC1	2
Xeroderma pigmentosum group C complementing protein	1
YB-1	3
Zinc and ring finger 2	1
Zinc finger CCCH-type antiviral protein 1	1
Zinc finger CCCH-type containing 11A	1
Zinc finger CCCH-type containing 13	2
Zinc finger antiviral protein	1
Zinc finger protein 265	2
Zinc finger protein 295	1
Zinc finger protein 363	1
Zinc finger protein 740	1
Zinc finger protein hRit1 alph	2
Zinc finger protein, subfamily 1A, member 2	3
Zinc finger, AN1-type domain 2B	1
Zinc finger, FYVE domain containing 19	1
Znf HX	1
Zyxin	1
chromosome 19 open reading frame 7	1
dUTP pyrophosphatase	1
p21 activated kinase 4	1
septin 1	3
