id	fdr.pvalue.bcell_rep1_0min	fdr.pvalue.bcell_rep2_0min	fdr.pvalue.bcell_rep3_0min	fdr.pvalue.bcell_rep4_0min	fdr.pvalue.bcell_rep5_0min	fdr.pvalue.bcell_rep1_2min	fdr.pvalue.bcell_rep2_2min	fdr.pvalue.bcell_rep3_2min	fdr.pvalue.bcell_rep4_2min	fdr.pvalue.bcell_rep5_2min	fdr.pvalue.bcell_rep1_5min	fdr.pvalue.bcell_rep2_5min	fdr.pvalue.bcell_rep3_5min	fdr.pvalue.bcell_rep4_5min	fdr.pvalue.bcell_rep5_5min	bcell_rep1_0min	bcell_rep2_0min	bcell_rep3_0min	bcell_rep4_0min	bcell_rep5_0min	bcell_rep1_2min	bcell_rep2_2min	bcell_rep3_2min	bcell_rep4_2min	bcell_rep5_2min	bcell_rep1_5min	bcell_rep2_5min	bcell_rep3_5min	bcell_rep4_5min	bcell_rep5_5min
KINASE-PSP_PKCD/PRKCD	0.717696741184691	0.41079286248999	0.639038950361016	0.61135646369622	0.930696157465884	0.616663035601436	0.526362875468669	0.639038950361016	0.443092480991001	NA	0.717696741184691	0.170293565454856	0.363494320485719	0.363494320485719	0.35981260395728	1.0851	2.0152	1.3796	1.5109	-0.4537	1.4382	1.7832	1.3527	1.9457	NA	1.0877	2.7717	2.117	2.1363	2.225
KINASE-PSP_PKACA/PRKACA	0.77035465451307	0.717696741184691	0.886035911308015	0.930696157465884	0.717696741184691	0.87880780840925	0.930696157465884	0.756817297306752	0.717696741184691	0.943436713749805	0.616663035601436	0.930696157465884	0.657446778573539	0.930696157465884	0.66754973175711	0.9176	1.1454	0.5738	0.4171	1.0842	0.6237	0.4098	-0.9493	1.1102	0.2785	1.4623	0.4539	1.2786	0.3697	1.2666
KINASE-PSP_PAK1	0.789743166920889	1	0.954520609513868	NA	1	0.930696157465884	0.801859138865127	0.886035911308015	0.616663035601436	NA	0.229218516674963	0.657446778573539	0.559188611032175	NA	0.599684205385872	0.87	-0.0617	0.2376	NA	-0.0027	0.37	0.7732	0.5879	1.4288	NA	2.5194	1.2965	1.6612	NA	1.5536
KINASE-PSP_P38A/MAPK14	0.79107794278983	0.870363672352984	NA	NA	NA	0.932557012629092	NA	NA	NA	0.363494320485719	NA	0.555376884422111	0.312203389830508	NA	0.616663035601436	-0.8674	-0.639	NA	NA	NA	-0.3403	NA	NA	NA	-2.1487	NA	-1.6791	-2.3093	NA	-1.4433
KINASE-PSP_mTOR/MTOR	0.801859138865127	0.77035465451307	0.660027347927921	0.930696157465884	0.886035911308015	0.930696157465884	0.717696741184691	0.738470471134705	0.801859138865127	0.930696157465884	0.208877087211665	0.886035911308015	0.976589967576685	1	0.639038950361016	-0.7836	-0.8899	-1.2715	-0.3563	0.5574	-0.3623	-1.0612	1.0125	-0.8092	-0.4359	-2.6398	-0.5768	-0.1829	0.0774	-1.348
KINASE-PSP_ERK2/MAPK1	0.79107794278983	0.680599068699505	1	0.801859138865127	0.717696741184691	0.801859138865127	0.717696741184691	0.77035465451307	0.639038950361016	0.930696157465884	0.930696157465884	0.660027347927921	0.935922935431989	0.870363672352984	0.932557012629092	0.8747	1.2459	0.0523	0.7887	1.1528	0.7665	1.0835	-0.914	1.371	-0.3409	-0.374	1.2804	-0.3047	0.6415	0.3245
KINASE-PSP_ERK1/MAPK3	0.412957589590963	0.870363672352984	0.954520609513868	0.930696157465884	0.980629810879396	0.817114448312145	0.932557012629092	0.801859138865127	0.932557012629092	0.717696741184691	0.616663035601436	0.954520609513868	0.999762119166576	0.943436713749805	0.976589967576685	-2.0158	-0.6258	-0.2213	-0.4203	-0.1643	0.7414	-0.3184	0.8157	0.3539	-1.1549	-1.4877	0.2269	-0.112	0.2699	0.1888
KINASE-PSP_CK2A1/CSNK2A1	0.35223538105517	0.229218516674963	0.930696157465884	0.45935894065062	0.229218516674963	0.170293565454856	0.167221175362148	0.263687117745494	0.484205766218869	0.110954636091725	0.170293565454856	0.139824125004379	0.363494320485719	0.24491080376829	0.170293565454856	2.2974	2.6005	-0.4032	1.8875	2.6248	2.8812	2.9982	2.5229	1.8318	3.3654	2.8303	3.1732	2.2159	2.5508	2.9104
KINASE-PSP_Chk1/CHEK1	NA	0.5935721581789	NA	NA	0.624270878676699	NA	0.484205766218869	NA	0.717696741184691	0.480113070558201	0.604291384695471	NA	0.504473874971649	0.886035911308015	0.563605373817327	NA	-1.5752	NA	NA	-1.4114	NA	-1.8606	NA	-1.153	-1.8606	-1.5397	NA	-1.8075	-0.6004	-1.6554
KINASE-PSP_CDK2	0.980544102593267	1	0.756817297306752	1	0.801859138865127	0.801859138865127	0.932557012629092	0.733848952539859	0.717696741184691	0.801859138865127	0.930696157465884	0.545203717321349	0.471865811280406	0.616663035601436	0.388160545400568	0.176	0.0465	-0.9688	-0.0248	0.7931	0.7836	0.3388	1.0111	1.1488	0.7929	0.3813	1.7261	1.8877	1.413	2.1066
KINASE-PSP_CDK1	0.801859138865127	0.66754973175711	0.930696157465884	0.801859138865127	0.76764610886161	0.697297442078479	0.727773628591715	0.434813508064516	0.545203717321349	0.76764610886161	0.759561272791024	0.0764137793707686	0.170293565454856	0.170293565454856	0.170293565454856	0.7974	1.2558	0.4596	0.7623	0.9241	1.2043	1.0297	1.9789	1.7053	0.9339	0.9357	3.5085	2.9117	2.8736	2.9608
KINASE-PSP_AMPKA1/PRKAA1	0.260064634583234	0.170293565454856	0.363494320485719	0.363494320485719	0.443092480991001	0.510956818399951	0.363494320485719	0.717696741184691	0.229218516674963	0.361329783128811	0.119928205669641	0.139824125004379	0.0856664496325923	0.170293565454856	0.110954636091725	2.4813	2.8638	2.1447	2.172	1.9499	1.8159	2.137	1.0988	2.5918	2.2165	3.0835	3.0766	3.3602	2.7797	3.304
