id	fdr.pvalue.tcell_rep1_0min	fdr.pvalue.tcell_rep2_0min	fdr.pvalue.tcell_rep3_0min	fdr.pvalue.tcell_rep4_0min	fdr.pvalue.tcell_rep5_0min	fdr.pvalue.tcell_rep1_2min	fdr.pvalue.tcell_rep2_2min	fdr.pvalue.tcell_rep3_2min	fdr.pvalue.tcell_rep4_2min	fdr.pvalue.tcell_rep5_2min	fdr.pvalue.tcell_rep1_5min	fdr.pvalue.tcell_rep2_5min	fdr.pvalue.tcell_rep3_5min	fdr.pvalue.tcell_rep4_5min	fdr.pvalue.tcell_rep5_5min	tcell_rep1_0min	tcell_rep2_0min	tcell_rep3_0min	tcell_rep4_0min	tcell_rep5_0min	tcell_rep1_2min	tcell_rep2_2min	tcell_rep3_2min	tcell_rep4_2min	tcell_rep5_2min	tcell_rep1_5min	tcell_rep2_5min	tcell_rep3_5min	tcell_rep4_5min	tcell_rep5_5min
PERT-PSP_GM_CSF	0.204803153878149	0.0343803939596326	1	0.009909375	NA	0.218723985215278	0.201358902717805	0.500473484848485	0.351087050297645	0.424937831564987	0.201358902717805	0.581401269494221	1	0.585498368141805	0.313542568486797	-2.7293	-3.6138	-0.0563	-4.0052	NA	2.613	2.7309	1.7478	2.1931	1.9673	2.6905	1.4982	0.1939	1.5115	2.2957
PERT-PSP_GENISTEIN	0.966619071757387	0.172945640924548	0.973297340787954	0.103452450146682	NA	0.523269877928448	0.184182224254098	0.539543860763723	0.205952314148008	0.210347929097929	0.0715905588962727	0.521218786911265	0.230191878417373	0.523269877928448	0.228090766123988	-0.5026	-2.7718	0.4934	-3.0629	NA	1.6931	2.7387	1.6397	2.6474	2.6323	3.0641	1.7387	2.5843	1.6798	2.6072
PERT-PSP_GEFITINIB	0.230191878417373	0.691823805869758	1	0.980523234163872	0.828840580134926	0.323416209782611	0.263170572732168	0.407554282267793	0.363878331349025	0.372367007885921	0.0455093429776974	0.210347929097929	0.246010380381235	0.339781106721038	0.277530523106255	2.5478	-1.2197	-0.3987	-0.4611	-0.8374	-2.2611	-2.5352	-2.0322	-2.1684	-2.0894	-3.2574	-2.6527	-2.5513	-2.1999	-2.5108
PERT-PSP_FORSKOLIN	0.313767845626636	0.103452450146682	0.680086668169795	0.0231870281337404	0.257965139712731	1	1	0.862785809049446	0.703408142783761	0.827626798380453	0.195138570706893	0.670454162973601	0.635777286595845	0.576820289922239	0.66960872064628	-2.2759	-3.0716	-1.2389	-3.9392	-2.5318	-0.2691	0.1648	0.7565	1.1708	0.8429	2.7872	1.2676	1.3961	1.5436	1.2802
PERT-PSP_FGF1	0.343893126943608	0.0402166193181818	1	0.0374910587785553	NA	0.307578037049598	0.295074775672981	0.506817711360397	0.57450689097199	0.499917980475761	0.195138570706893	0.329025443203435	0.165203242909642	0.295114760464356	0.247942660164789	-2.2001	-3.3723	0.0073	-3.2654	NA	2.3145	2.3637	1.7331	1.5415	1.7667	2.6742	2.2461	2.7885	2.3371	2.4862
PERT-PSP_EXERCISE	0.494542492920735	0.0641416310800215	0.828840580134926	1	NA	0.958504261980047	0.86771766998347	1	0.824469494090935	0.648388667842957	1	0.70506716093676	0.812669979193735	0.708113593382432	0.78672958297597	-1.7945	-3.4134	-0.8434	NaN	NA	0.5357	0.7443	NaN	0.8592	1.3387	NaN	1.1547	0.8848	1.1472	0.9529
PERT-PSP_ETOPOSIDE	1	1	0.51120604326876	0.748217895765721	0.218723985215278	1	1	1	1	0.763919821826281	0.531544245047079	0.685783895926262	0.664516542312243	0.527674556337069	0.759751852987322	-0.0106	0.322	-1.7163	-1.0673	-2.5795	0.2007	-0.2027	0.0846	0.2974	0.9951	-1.6983	1.2125	1.2785	1.7071	1.0261
PERT-PSP_EPO	0.538606718848169	0.218660992347298	1	0.134848586584301	NA	0.664516542312243	0.540574921970271	0.445933651416851	0.527674556337069	0.429426424395777	NA	0.361376931632231	0.353571692686582	0.362034040735093	0.366940196772591	-1.6607	-2.5721	0.3504	-2.8627	NA	1.2986	1.6472	1.9122	1.6866	1.9445	NA	2.1374	2.1545	2.1508	2.1422
PERT-PSP_EGF	0.0566816816816817	0.428794363149888	0.553599329274131	0.376168173905005	0.191166401839579	1	1	0.967462930444453	0.930924077795565	0.632204625249156	0.798055061598829	0.590213722904578	1	0.855660554805561	0.643353190737114	-3.7395	-1.9525	-1.5987	-2.0995	-2.9539	0.0339	-0.0157	-0.4837	-0.5756	1.4036	0.9133	1.4802	0.2929	0.7641	1.3248
PERT-PSP_CISPLATIN	0.822662694943962	0.538598243616469	0.904230300552399	0.009909375	NA	0.678332104028272	0.572668213778807	0.670454162973601	0.463079899711846	0.247921190614904	0.741441433056921	0.463491465170573	0.463079899711846	0.383566999062866	0.494542492920735	-0.8824	-1.6914	0.6419	-3.4578	NA	1.2658	1.5706	1.2697	1.8724	2.461	1.0595	1.8321	1.8745	2.0538	1.811
PERT-PSP_BACTERIAL_INFECTION	0.551617403228098	0.228090766123988	1	NA	NA	0.811517078940033	0.750688129171741	0.681680477349216	0.692068421207733	0.489840500824493	0.366940196772591	0.692068421207733	0.642640653357532	0.582775409662552	0.678332104028272	-1.6125	-2.5586	0.0577	NA	NA	0.888	1.0514	1.241	1.2046	1.8121	2.1148	1.1968	1.358	1.5077	1.2419
PERT-PSP_AZD8055	0.419760732411279	0.297464884804583	0.411788652920572	0.388611135574572	0.251336356043432	0.0930042938595462	0.135008478495452	0.196457106689223	0.283216210460792	0.477221392985122	0.0850452375966669	0.353829515101468	0.224213027123342	0.344105062820183	0.261367272727273	1.98	-2.3612	-1.9784	-2.0778	-2.4601	-3.0768	-2.8943	-2.6795	-2.4361	-1.8198	-3.0805	-2.1727	-2.6047	-2.1727	-2.453
PERT-PSP_ANTI_IGM	0.898121004406519	0.433950942753731	0.683031011836677	0.366940196772591	NA	0.411788652920572	0.339781106721038	0.642250279863697	0.0772395694333244	0.230191878417373	0.201358902717805	0.57450689097199	0.193088582225099	0.364288287655946	0.285809349206836	-0.6806	-1.9469	1.2188	-2.1204	NA	1.9823	2.2343	1.3664	3.1194	2.5621	2.7021	1.5349	2.7647	2.1587	2.459
PERT-PSP_ANTI_CD3	0.708216256193855	0.432774067214636	1	0.22737092494384	0.512740240586256	0.808662345142105	0.748217895765721	1	0.553599329274131	0.159916420986347	0.0929065602012634	0.135008478495452	0.375844494488562	0.48084802805006	0.210347929097929	-1.1157	-1.9212	0.3132	-2.6348	-1.7307	0.8859	1.0362	-0.2341	1.5987	3.0538	3.5036	3.1513	2.1292	1.8389	2.7755
PERT-PSP_ANISOMYCIN	0.334416705016107	0.0771255446047121	0.86771766998347	0.0315808343873557	NA	1	0.873406676108875	0.674133055105571	0.848003009712137	0.626105118628764	0.489840500824493	1	1	1	1	-2.2617	-3.1161	-0.7506	-3.3148	NA	0.0655	0.7293	1.2475	0.7807	1.451	1.7924	-0.0166	0.0949	0.3617	0.0183
PERT-PSP_AMINO_ACIDS	0.59812503328309	0.312635766264798	0.329171621086009	0.376168173905005	0.357362714685957	0.100978937667184	0.172220985868477	0.201358902717805	0.230191878417373	0.363878331349025	0.0641365180891465	0.313767845626636	0.230191878417373	0.502039770228995	0.302386725880718	-1.4737	2.2576	2.2345	2.0827	2.1615	3.2358	2.8594	2.6547	2.5822	2.1621	3.2984	2.2854	2.5807	1.7659	2.3787
PERT-PSP_AG1478	0.342163474507688	0.0266865279741466	1	0.0266865279741466	NA	0.313043503264015	0.302155776673477	0.51120604326876	0.582775409662552	0.51120604326876	0.201358902717805	0.305979237372729	0.165024019215372	0.305203934825073	0.238191406437789	2.2056	3.3309	-0.0075	3.2945	NA	-2.2931	-2.3429	-1.7434	-1.5401	-1.747	-2.7279	-2.3373	-2.7616	-2.3094	-2.5145
PERT-PSP_4_HT	1	0.664516542312243	1	0.637284022932184	NA	0.0991812628790109	0.0374910587785553	0.0402166193181818	0.0425780463242699	0.0315808343873557	0.686481294611851	0.059286858974359	0.0231870281337404	0.0402166193181818	0.0231870281337404	-0.0446	-1.2981	-0.2855	-1.3965	NA	2.9958	3.1935	3.1578	3.2073	3.3664	1.2215	3.2516	3.4022	3.2653	3.4598
PERT-P100-PRM_VORINOSTAT	0.950288252427055	1	0.906590585664577	0.661732229123533	0.841694688700677	0.89566329313945	0.643088644514219	0.41730204554988	0.832750930403862	0.730287941948433	0.909698775239987	0.838831778882157	0.661732229123533	0.548773570090942	0.639448843937926	-0.5275	0.3069	0.6348	1.2898	-0.7771	0.6472	1.3444	1.9729	0.8076	1.1012	0.6236	0.8008	1.2873	1.6154	1.3508
PERT-P100-PRM_VEMURAFENIB	NA	NA	NA	NA	NA	0.995015995233731	1	1	0.834930467499532	0.912491547183313	0.931638854918426	NA	NA	0.991034133241875	1	NA	NA	NA	NA	NA	-0.4259	0.1902	-0.1834	-0.8344	-0.6153	-0.5967	NA	NA	0.4324	0.0421
PERT-P100-PRM_TAXOL	NA	NA	NA	NA	NA	0.680685981739079	1	0.320217315567045	0.783994702954473	0.897084782692225	1	NA	1	0.670537137337706	1	NA	NA	NA	NA	NA	1.2325	0.3496	2.2785	-0.9722	-0.6894	0.2629	NA	0.2736	1.2908	0.0403
PERT-P100-PRM_STAUROSPORINE	0.798133574259366	0.739101341443355	0.877467307921618	0.808662345142105	0.739489115455477	0.930166586272723	0.907932595209322	0.741465600775194	1	1	0.958184315463004	1	1	1	0.912491547183313	0.9334	1.0706	-0.6934	0.8951	1.0568	0.5997	0.6413	1.0492	0.1105	-0.0582	0.5124	-0.3231	-0.0701	-0.1474	0.6412
PERT-P100-PRM_SP600125	0.572923102029398	0.531730810568767	0.642640653357532	0.549679750852039	0.641277192260118	0.362034040735093	0.357524791937145	0.341513061178333	0.877467307921618	1	0.987300007404594	0.824469494090935	0.539303296058423	0.708216256193855	0.533227718566147	1.565	1.7021	1.3533	1.6129	1.3554	2.1436	2.1754	2.2291	0.7124	0.3146	0.4439	0.8717	1.6541	1.1461	1.6718
PERT-P100-PRM_SEMAGACESTAT	0.379439599887677	1	0.693058277129476	0.679186868391845	0.877467307921618	0.458883369887756	0.411788652920572	0.65960409283472	0.681680477349216	0.830466292783009	1	0.572923102029398	0.462585375652873	0.499917980475761	0.652357610503336	-2.099	0.2657	1.1827	-1.2545	-0.7353	1.8882	1.9531	1.2974	1.2384	0.8237	0.2604	1.5419	1.8679	1.7612	1.3163
PERT-P100-PRM_SELUMETINIB	0.89566329313945	0.0641365180891465	0.90433227035856	1	0.103452450146682	0.499215642501014	0.523269877928448	0.0641365180891465	0.679186868391845	0.740933761421469	0.146151620739682	0.854517746365148	1	0.87030617588261	0.811517078940033	-0.6809	3.2597	-0.6586	NaN	3.1047	1.7912	1.691	3.2587	1.2259	1.0659	2.9954	0.7822	NaN	0.7414	0.8967
PERT-P100-PRM_SCH_900776	0.0474137028741287	0.0715905588962727	0.342163474507688	0.0425780463242699	0.447472608051149	0.218297025988739	0.263568902475574	0.175964408725603	0.463079899711846	0.470086962150965	0.463079899711846	0.45350693104424	0.376168173905005	0.464901954749924	0.294125387197253	3.4425	3.3284	2.2093	3.5402	1.9268	2.5894	2.4877	2.8459	1.8768	1.8641	1.8662	1.8714	2.0812	1.8408	2.3403
PERT-P100-PRM_SALERMIDE	1	1	1	1	1	0.4356210142727	0.7444349045185	0.832750930403862	0.463079899711846	0.539303296058423	0.763068221331046	1	0.812669979193735	0.793235063067643	0.654526024163839	NaN	NaN	NaN	NaN	NaN	-1.9303	-1.0718	-0.8081	-1.8835	-1.6612	-1.0126	NaN	-0.9027	-0.9435	-1.3244
PERT-P100-PRM_ROSCOVITINE	0.759994008246545	0.511440342133119	0.759751852987322	0.293404878184903	0.439119676347682	0.6240889960184	0.701954264268286	0.360851049056254	1	1	1	0.891877776377548	0.958805275749737	0.639448843937926	1	1.0287	1.7082	1.0145	2.3861	1.9399	1.4232	1.1695	2.1334	0.3187	0.2521	0.0072	0.7038	-0.5222	1.3929	0.2073
PERT-P100-PRM_PS-1145	0.864106847561249	0.94745446615632	0.958184315463004	0.906765321669552	0.366732623213699	0.700915945886006	0.958805275749737	1	1	1	0.954509345806959	1	1	0.999575974208018	1	-0.7497	-0.5605	-0.5513	-0.637	-2.1492	-1.1694	-0.5307	0.1602	-0.3967	-0.3245	-0.5441	-0.0214	-0.3447	0.4175	-0.0908
